answers,marks
"ER model stands for an Entity-Relationship model. It is a high-level data model. This model is used to define the data elements and relationship for a specified system.
It develops a conceptual design for the database. It also develops a very simple and easy to design view of data.
In ER modeling, the database structure is portrayed as a diagram called an entity-relationship diagram.",5
"Database normalization is used in a database management system (DBMS), specifically with relational databases, to decrease redundant information and therefore minimize data anomalies. Anomalies can occur from information that is poorly grouped or redundant and can cause a range of effects, such as incorrect data insertion or the deletion of a whole group of data. By using database normalization, these anomalies are avoided, and memory typically is freed up so that the database can function more efficiently. Normalization functions should be used periodically, about once a week, to keep the database fresh and free of unexpected problems.",5
"It has decreased the risk of data management, i.e., manipulation of data will not affect the core data.
Data consistency is maintained as it manages data in a central repository.
It provides better data quality, which enables organizations to establish data standards.
It is less costly because fewer vendors are required to handle the data sets.",5
"RDBMS stands for Relational Database Management System. RDBMS is the basis for SQL, and for all modern database systems like MS SQL Server, IBM DB2, Oracle, MySQL, and Microsoft Access.
A Relational database management system (RDBMS) is a database management system (DBMS) that is based on the relational model as introduced by E. F. Codd.",5
"The design of a DBMS depends on its architecture. It can be centralized or decentralized or hierarchical. The architecture of a DBMS can be seen as either single tier or multi-tier. An n-tier architecture divides the whole system into related but independent n modules, which can be independently modified, altered, changed, or replaced.",5
"In 1-tier architecture, the DBMS is the only entity where the user directly sits on the DBMS and uses it. Any changes done here will directly be done on the DBMS itself. It does not provide handy tools for end-users. Database designers and programmers normally prefer to use single-tier architecture.",5
"If the architecture of DBMS is 2-tier, then it must have an application through which the DBMS can be accessed. Programmers use 2-tier architecture where they access the DBMS by means of an application. Here the application tier is entirely independent of the database in terms of operation, design, and programming.",5
"A 3-tier architecture separates its tiers from each other based on the complexity of the users and how they use the data present in the database. It is the most widely used architecture to design a DBMS.Database (Data) Tier âˆ’ At this tier, the database resides along with its query processing languages. We also have the relations that define the data and their constraints at this level.
Application (Middle) Tier âˆ’ At this tier reside the application server and the programs that access the database. For a user, this application tier presents an abstracted view of the database. End-users are unaware of any existence of the database beyond the application. At the other end, the database tier is not aware of any other user beyond the application tier. Hence, the application layer sits in the middle and acts as a mediator between the end-user and the database.
User (Presentation) Tier âˆ’ End-users operate on this tier and they know nothing about any existence of the database beyond this layer. At this layer, multiple views of the database can be provided by the application. All views are generated by applications that reside in the application tier.",5
"This property states that a transaction must be treated as an atomic unit, that is, either all of its operations are executed or none. There must be no state in a database where a transaction is left partially completed. States should be defined either before the execution of the transaction or after the execution/abortion/failure of the transaction.",5
"The database must remain in a consistent state after any transaction. No transaction should have any adverse effect on the data residing in the database. If the database was in a consistent state before the execution of a transaction, it must remain consistent after the execution of the transaction as well.",5
"In a database system where more than one transaction are being executed simultaneously and in parallel, the property of isolation states that all the transactions will be carried out and executed as if it is the only transaction in the system. No transaction will affect the existence of any other transaction",5
"The database should be durable enough to hold all its latest updates even if the system fails or restarts. If a transaction updates a chunk of data in a database and commits, then the database will hold the modified data. If a transaction commits but the system fails before the data could be written on to the disk, then that data will be updated once the system springs back into action.",5
"The active state is the first state of every transaction. In this state, the transaction is being executed.
For example: Insertion or deletion or updating a record is done here. But all the records are still not saved to the database. ",5
"In the partially committed state, a transaction executes its final operation, but the data is still not saved to the database.
In the total mark calculation example, a final display of the total marks step is executed in this state.",5
"A transaction is said to be in a committed state if it executes all its operations successfully. In this state, all the effects are now permanently saved on the database system.",5
"If any of the checks made by the database recovery system fails, then the transaction is said to be in the failed state.
In the example of total mark calculation, if the database is not able to fire a query to fetch the marks, then the transaction will fail to execute.",5
If any of the checks fail and the transaction has reached a failed state then the database recovery system will make sure that the database is in its previous consistent state. If not then it will abort or roll back the transaction to bring the database into a consistent state.,5
"This database is based on the relational data model, which stores data in the form of rows(tuple) and columns(attributes), and together forms a table(relation)",5
t is the type of database that stores data at a centralized database system. It comforts the users to access the stored data from different locations through several applications. These applications contain the authentication process to let users access data securely.,5
" in distributed systems, data is distributed among different database systems of an organization. These database systems are connected via communication links. Such links help the end-users to access the data easily. ",5
NoSQL is a type of database that is used for storing a wide range of data sets. It is not a relational database as it stores data not only in tabular form but in several different ways.,5
The type of database that uses the object-based data model approach for storing data in the database system. The data is represented and stored as objects which are similar to the objects used in the object-oriented programming language.,5
"It is the type of database that stores data in the form of parent-children relationship nodes. Here, it organizes data in a tree-like structure.",5
"It is used for storing vast amounts of data in a graph-like structure. Most commonly, social networking websites use the graph database.",5
An operating system is a software that acts as an intermediary between the computer hardware and the computer user. It provides a user interface and manages hardware resources to enable the execution of software applications.,5
"The three types of operating systems are Windows, macOS, and Linux. Each has its own strengths and weaknesses, catering to different user preferences and needs.
",5
"Multitasking refers to the ability of an operating system to execute multiple tasks concurrently on a single processor, switching between them rapidly. On the other hand, multiprocessing involves the simultaneous execution of multiple processes on multiple processors, enhancing overall system performance.",5
"The kernel is the core of the operating system, responsible for managing hardware resources such as memory, CPU, and I/O devices. It provides a bridge between applications and the computer hardware, ensuring efficient communication.",5
"Virtual memory is a memory management technique that uses both RAM and a portion of a computer's hard drive to simulate a larger amount of RAM. Its purpose is to allow applications to use more memory than physically available, improving multitasking and overall system performance.",5
" The file system organizes data on storage devices, ensuring efficient storage, retrieval, and organization of files and directories.
storage, and retrieval of files and directories.",5
"
A 32-bit OS processes data in 32-bit chunks, while a 64-bit OS processes data in 64-bit chunks, enabling greater memory addressing and improved performance.
",5
"
  A process is an independent program in execution, comprising program code, data, and resources needed for execution in a computer system.",5
"  Deadlock occurs when two or more processes are unable to proceed because each is waiting for the other to release a resource, leading to a standstill.
",5
